Field,RA,DEC,u_MJD,J0378_MJD,J0395_MJD,J0410_MJD,J0430_MJD,g_MJD,J0515_MJD,r_MJD,J0660_MJD,i_MJD,J0861_MJD,z_MJD
HYDRA-0158,162.9,-45.93,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0
HYDRA-0159,164.92,-45.93,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0
HYDRA-0160,150.17,-47.28,58480.0,58480.0,58480.0,58480.0,58480.0,58480.0,58480.0,58480.0,58480.0,58480.0,58480.0,58480.0
HYDRA-0161,152.23,-47.28,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0,58482.0
HYDRA-0162,154.29,-47.28,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0,58496.0
HYDRA-0163,156.34,-47.28,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0,58515.0
HYDRA-0164,158.4,-47.28,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0,58529.0
HYDRA-0165,160.46,-47.28,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0,58541.0
HYDRA-0166,162.51,-47.28,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0,58543.0
HYDRA-0167,164.57,-47.28,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0,58542.0
HYDRA-D-0001,158.35,-34.64,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0
HYDRA-D-0002,156.68,-34.63,57839.0,57839.0,57839.0,57839.0,57839.0,57839.0,57839.0,57839.0,57839.0,57839.0,57839.0,57839.0
HYDRA-D-0003,158.37,-36.01,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0
HYDRA-D-0004,156.67,-36.01,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0,57804.0
MC0001,67.69,-63.27,57730.0,57727.0,57727.0,57727.0,57727.0,57727.0,57727.0,57727.0,57730.0,57727.0,57730.0,57730.0
MC0002,70.77,-63.27,58424.0,58424.0,58424.0,58424.0,58424.0,58424.0,58424.0,58424.0,58424.0,58424.0,58424.0,58424.0
MC0003,73.85,-63.27,57750.0,57735.0,57735.0,57735.0,57735.0,57750.0,57735.0,57735.0,57750.0,57735.0,57750.0,57750.0
MC0004,76.93,-63.27,58460.0,57719.0,57719.0,57719.0,57719.0,57719.0,57719.0,57719.0,58460.0,57719.0,58523.0,58523.0
MC0005,80.0,-63.27,57717.0,57749.0,57749.0,57749.0,57749.0,57717.0,57749.0,57717.0,57717.0,57717.0,57717.0,57717.0
MC0006,83.08,-63.27,57720.0,57755.0,57755.0,57755.0,57755.0,57720.0,57755.0,57720.0,57720.0,57720.0,57720.0,57720.0
MC0007,86.15,-63.27,57722.0,57747.0,57747.0,57747.0,57747.0,57722.0,57747.0,57722.0,57722.0,57722.0,57722.0,57722.0
MC0008,89.23,-63.27,57717.0,57749.0,57749.0,57749.0,57749.0,57717.0,57749.0,57717.0,57717.0,57717.0,57717.0,57717.0
MC0009,92.31,-63.27,57718.0,57727.0,57727.0,57727.0,57727.0,57718.0,57727.0,57718.0,57718.0,57718.0,57718.0,57718.0
MC0010,95.38,-63.27,57719.0,57718.0,57718.0,57718.0,57718.0,57718.0,57722.0,57718.0,57719.0,57718.0,57719.0,57719.0
MC0011,67.5,-64.57,57755.0,57744.0,57744.0,57744.0,57744.0,57744.0,57744.0,57744.0,57755.0,57744.0,57755.0,57755.0
